,Credit_Card_Exceed_Months,Employment_Type,Loan_Amount,Loan_Tenure_Year,More_Than_One_Products,Credit_Card_More_Than_Months,Number_of_Dependents,Years_to_Financial_Freedom,Number_of_Credit_Card_Facility,Number_of_Properties,Number_of_Bank_Products,Number_of_Loan_to_Approve,Property_Type,Years_for_Property_to_Completion,State,Number_of_Side_Income,Monthly_Salary,Total_Sum_of_Loan,Total_Income_for_Join_Application,Decision,Score
1,1,3,605505,19,0,1,2,5,2,2,1,2,1,10,0,2,9251,882901,17082,0,9
3,1,3,490216,20,0,1,2,5,2,2,1,1,1,10,0,1,4459,536727,10952,0,9
6,1,3,226681,22,1,1,2,5,2,2,1,1,1,10,0,3,3999,615986,11172,0,7
8,1,3,114428,24,1,1,2,5,2,2,1,2,1,10,0,2,11983,556822,12947,0,8
11,1,3,610885,10,0,1,2,5,2,2,1,3,1,10,0,1,11604,1010426,12328,0,7
12,1,3,236478,23,1,1,2,5,2,2,1,3,1,10,0,2,6493,848730,11533,0,7
13,1,3,355396,24,0,1,2,5,2,2,1,3,1,10,0,3,5459,524595,15290,0,8
15,1,3,577456,13,0,1,2,5,2,2,1,3,1,10,0,3,11886,1183881,12738,0,8
18,1,3,748282,18,1,1,2,5,2,2,1,2,1,10,0,3,6209,672383,19040,0,6
21,1,3,473425,23,0,1,2,5,2,2,1,3,1,10,0,3,7580,927502,17751,0,6
23,1,3,708722,15,0,1,2,5,2,2,1,1,1,10,0,2,11852,1308511,10653,0,6
24,1,3,508544,19,1,1,2,5,2,2,1,3,1,10,0,3,9605,803230,14399,0,9
25,1,3,428719,11,0,1,2,5,2,2,1,3,1,10,0,2,7185,1330083,17093,0,8
26,1,3,247640,15,1,1,2,5,2,2,1,2,1,10,0,1,6547,666752,9508,0,7
27,1,3,255874,24,0,1,2,5,2,2,1,3,1,10,0,2,8538,834522,16732,0,9
28,1,3,767690,23,1,1,2,5,2,2,1,1,1,10,0,2,10051,1227772,12280,0,8
29,1,3,249608,21,0,1,2,5,2,2,1,2,1,10,0,1,9707,1011241,15707,0,7
30,1,3,379899,13,1,1,2,5,2,2,1,3,1,10,0,2,7505,1413168,13576,0,8
33,1,3,379448,18,0,1,2,5,2,2,1,1,1,10,0,2,10817,818703,16334,0,7
35,1,3,550775,24,0,1,2,5,2,2,1,1,1,10,0,1,6425,481871,15957,0,8
37,1,3,405343,11,0,1,2,5,2,2,1,1,1,10,0,2,6116,746446,9174,0,6
39,1,3,503581,19,0,1,2,5,2,2,1,2,1,10,0,1,6911,601169,17488,0,9
40,1,3,132350,21,1,1,2,5,2,2,1,1,1,10,0,1,4489,1413238,14137,0,7
42,1,3,612336,10,1,1,2,5,2,2,1,1,1,10,0,1,11675,903515,10349,0,6
43,1,3,396011,14,0,1,2,5,2,2,1,2,1,10,0,3,9232,439917,10707,0,6
45,1,3,220915,15,0,1,2,5,2,2,1,3,1,10,0,2,3652,1165552,18803,0,7
47,1,3,763798,13,0,1,2,5,2,2,1,2,1,10,0,2,7968,1438566,13948,0,9
48,1,3,155112,14,1,1,2,5,2,2,1,1,1,10,0,3,6821,424772,12205,0,9
49,1,3,623271,24,0,1,2,5,2,2,1,2,1,10,0,1,5697,794586,15483,0,6
50,1,3,732986,17,1,1,2,5,2,2,1,1,1,10,0,2,5680,499844,10774,0,7
51,1,3,475541,17,0,1,2,5,2,2,1,3,1,10,0,3,8893,1394458,8679,0,7
52,1,3,364495,20,1,1,2,5,2,2,1,1,1,10,0,1,5168,884635,10681,0,7
53,1,3,497623,22,0,1,2,5,2,2,1,2,1,10,0,3,9118,1254034,14645,0,6
54,1,3,329944,11,1,1,2,5,2,2,1,2,1,10,0,3,8015,1220164,11040,0,9
56,1,3,399912,23,1,1,2,5,2,2,1,1,1,10,0,3,11763,1423797,17178,0,6
57,1,3,314643,21,0,1,2,5,2,2,1,3,1,10,0,2,10653,1372361,11826,0,8
58,1,3,236410,19,1,1,2,5,2,2,1,3,1,10,0,1,8175,1194440,13758,0,9
60,1,3,625271,24,1,1,2,5,2,2,1,2,1,10,0,1,6693,1381890,13067,0,7
61,1,3,149254,21,0,1,2,5,2,2,1,3,1,10,0,2,8337,673952,13691,0,6
64,1,3,141575,15,1,1,2,5,2,2,1,3,1,10,0,1,5644,525593,16949,0,9
